Well,Regional_group,Region,Location,latitude,longitude,aquifer_id,Snow_influenced,Climate_station_Id,Climate_Infilled_id,Climate_secondary_Infilled,Climate_tertiary_Infilled,Climate_quaternary_Infilled,snow_stn
OW002,Coastal 1,Surrey,Abbotsford,49.0171,-122.34165,15,0,810,702. 50308. 54238,43723,50368,NA,1D17P
OW008,Coastal 1,Surrey,Abbotsford,49.01696,-122.2894,15,0,810,702. 50308. 54238,43723,50368,NA,1D17P
OW035,Interior 1,Kamloops,Stump Lake,50.39353,-120.32752,1174,1,1216,42203,51423,1022,NA,1F03P
OW047,Interior 3,Penticton,Silverstar,50.36584,-119.08544,351,1,46987,6843,48369,51117,NA,1F03P
OW058,Vancouver Island 3,imo,Saanich,48.63119,-123.41753,610,0,54641,87,51337,NA,NA,1D17P
